probe_id,GI-78,GI-91,GI-94,GI-95,GI-100,GI-103,GI-113,GI-121,GI-135,GI-142,GC-92,GC-94,GC-95,GC-109,GC-117,GC-121,GC-131,GC-133,GC-136,GC-138
ASHGA5P014028,6.736448,8.190828,6.0982184,8.180258,6.4610476,8.156218,6.3149157,5.6665583,5.6078334,6.4886394,5.5846186,5.029134,5.3428683,5.6359844,4.604547,3.9291046,3.8121774,4.706719,4.5786686,3.4739928
ASHGA5P014030,5.769622,6.8031945,5.318477,6.7205286,6.218295,6.7647495,6.248543,4.762283,4.9186163,5.6548433,7.1685724,8.094261,5.9131074,7.0967593,7.1561713,7.137867,6.89313,7.058731,7.3156557,7.28468
ASHGA5P014031,9.821928,9.185083,9.709219,9.398563,9.851365,9.331585,9.813412,9.644995,9.5992155,9.877019,9.0307865,9.094561,10.50219,9.183409,8.8049345,10.248186,9.327102,8.357973,8.8242235,10.150873
ASHGA5P014040,8.710861,6.7476225,8.015858,6.7127275,8.620361,6.817556,8.627851,7.4839644,7.5316634,8.664977,7.5403757,7.017967,7.683525,7.7626233,6.9790454,6.9626427,5.5975013,7.454315,6.9632225,7.089763
ASHGA5P014050,8.543919,8.100652,8.421451,8.384182,8.554379,8.313092,8.443398,7.8117223,7.8616505,8.612432,7.887809,7.739142,8.036196,7.876302,7.711072,7.543419,7.3722982,7.650491,7.68973,7.6489086
ASHGA5P014051,7.776794,7.4088607,7.126287,7.0672245,7.7404284,7.241062,7.554,7.0574474,7.1855044,7.636165,7.170913,7.349453,7.5088644,7.262003,7.284029,7.1355495,6.8803005,7.3180223,7.2327123,7.0795474
ASHGA5P014123,2.643763,2.4847622,2.4806867,4.591426,5.141154,4.493047,5.327405,6.027726,5.9115386,2.6382046,3.2045577,2.3652925,4.1092114,4.4073653,4.6804276,6.93153,5.4798503,4.3949804,4.622759,6.921973
ASHGA5P014142,9.696095,9.327102,10.000847,9.466201,9.793775,9.399435,9.734588,9.900594,9.891739,9.803565,8.31411,8.044756,9.108618,8.649392,7.8937464,9.215996,7.921954,8.238067,7.9342747,9.321516
ASHGA5P014151,5.925353,4.5707865,2.4806867,4.145914,4.9970145,4.1181936,5.299665,2.4776082,3.0453668,5.979897,5.305807,5.317335,3.2060132,4.551047,5.249847,2.9449902,4.7020917,2.438255,5.4027305,3.5686119
ASHGA5P014163,5.635136,4.9511137,6.070876,4.2527246,5.076345,4.487357,5.0294204,5.4748125,5.301034,5.3512483,4.707377,4.4354696,5.742111,6.609454,3.888194,4.5492907,4.490555,5.0503325,3.6675096,4.3299913
ASHGA5P014166,5.647616,6.1606345,3.42825,6.3483944,5.397078,6.4041586,5.402075,4.1689973,3.4293633,5.526321,5.817319,5.657979,4.5537868,5.6420903,5.5248113,3.8183596,4.9278355,5.6017437,5.5219274,4.582055
ASHGA5P014167,5.2160063,5.5577807,4.3186035,5.850033,4.021542,5.7604613,4.57034,5.2571783,4.863476,4.1499023,5.465685,7.023628,4.1599107,5.543622,7.037712,3.6255033,5.5132313,6.743135,7.0022607,2.473227
ASHGA5P014184,2.643763,6.531,2.4806867,6.446148,2.7668471,6.4707713,3.284772,2.3639536,2.3633895,4.0360146,5.595395,5.5466194,2.3589973,5.4083858,5.492608,2.3864467,4.566098,5.63135,5.3144817,2.3654428
ASHGA5P014189,5.1959167,5.2209005,5.3384376,5.475936,5.4645004,5.553873,4.9974446,5.885232,5.7969165,5.663087,4.802751,5.1241407,6.779687,4.6645517,5.0645046,5.74675,5.1607714,5.3617806,5.1327925,5.7989626
ASHGA5P014191,6.2852187,6.0599575,6.9305944,6.1195464,7.311035,6.211646,7.2557507,7.463341,7.2551565,6.47812,7.6199503,8.282212,6.5655203,7.47413,8.333336,5.6150303,8.74449,8.364319,8.267076,5.6023555
ASHGA5P014195,8.834731,8.270107,8.152542,8.152542,8.813115,8.134468,8.808835,8.6320715,8.602672,8.878555,8.379724,8.356097,8.794397,8.37567,8.42923,8.606737,9.423441,8.478925,8.406773,8.493328
ASHGA5P014247,4.499022,6.0775695,3.566735,5.750805,4.603607,5.8232436,4.6088066,4.4180417,4.2603607,4.5158267,6.2673845,6.216558,2.3601422,6.2945585,6.1573424,4.454475,5.4669437,5.6924663,6.2266374,4.330125
ASHGA5P014260,6.5873213,8.545868,5.6881266,8.604338,6.6780005,8.54126,6.4727435,5.1648717,5.3681016,6.814289,9.156371,9.836896,7.7632794,9.46196,9.444204,7.011846,9.081794,9.638259,9.510594,7.1832695
ASHGA5P014261,6.2189865,5.54841,5.2425895,4.746903,5.9263797,4.850342,5.7682724,3.5233696,3.0808017,6.3470507,6.5700164,5.525874,6.7192254,6.789373,5.426143,6.0239944,4.5667343,5.52728,5.4449835,5.734026
ASHGA5P014266,6.232942,6.4820995,3.3346791,6.627349,6.4727435,6.65157,6.4407673,5.2218366,5.660304,6.1018267,5.237975,5.956406,4.995364,5.7232466,5.8112383,4.841118,5.2281075,5.6845374,5.7881317,4.7347507
ASHGA5P014267,12.201207,11.466266,12.213112,11.434612,12.367915,11.431875,12.344257,12.1798725,12.153052,12.217837,12.081792,11.691311,12.921373,12.115742,11.985721,12.871483,11.736968,11.386557,11.917751,12.802938
ASHGA5P014268,14.578822,13.182184,14.422731,13.786613,14.680161,13.812184,14.698612,14.29869,14.339929,14.661345,14.50564,12.979576,14.644683,14.4287,13.11309,14.460082,13.825831,13.634563,12.99407,14.371389
ASHGA5P014298,9.134372,8.275299,9.26086,8.22114,9.121911,8.16927,9.055936,9.441326,9.413409,9.114427,7.711413,7.1501713,8.869706,7.7074594,7.2769437,8.54126,7.179271,7.073389,7.203049,8.564504
